SENTENCE1,SENTENCE2,Interpretation,BERT,GPT-2
Some judges and academic authorities favour a narrow approach to the meaning of the term.,Possibly all judges and academic authorities favour a narrow approach to the meaning of the term.,Semantic,0.730998874,0.730986118
Some people do protests.,Possibly all people do protests.,Semantic,0.703055322,0.730643213
Some relationships are of just this kind.,Possibly all relationships are of just this kind.,Semantic,0.725839138,0.730889857
Some people go off to El Vino 's or the Falstaff.,Possibly all people go off to El Vino 's or the Falstaff.,Semantic,0.728363276,0.731013834
Some women sustain positive feelings all the way through.,Possibly all women sustain positive feelings all the way through.,Semantic,0.72689563,0.731017113
Some people feel the cold.,Possibly all people feel the cold.,Semantic,0.721750557,0.730921507
Some children and substitute parents need the certainty of the legal tie of adoption.,Possibly all children and substitute parents need the certainty of the legal tie of adoption.,Semantic,0.721232176,0.730999172
Some kids put another's handwork down.,Possibly all kids put another's handwork down.,Semantic,0.730186999,0.73086381
Some commentators spoke of the Japanisation of British industrial relations.,Possibly all commentators spoke of the Japanisation of British industrial relations.,Semantic,0.730207503,0.730968595
Some visits may only be for convenience shopping.,Possibly all visits may only be for convenience shopping.,Semantic,0.727924585,0.730902433
Some members can provide it.,Possibly all members can provide it.,Semantic,0.73099941,0.730778158
Some societies fear hostile bids a subject on the agenda at the Building Societies Association council meeting tomorrow.,Possibly all societies fear hostile bids a subject on the agenda at the Building Societies Association council meeting tomorrow.,Semantic,0.729390144,0.731023371
Some people do sort of Amstrad kits.,Possibly all people do sort of Amstrad kits.,Semantic,0.725395799,0.730898976
Some staff realised the knock-on effects of the developments to that date and of the predicted integration of the library and the audio-visual resources area.,Possibly all staff realised the knock-on effects of the developments to that date and of the predicted integration of the library and the audio-visual resources area.,Semantic,0.729011893,0.73104459
Some walks are accessible.,Possibly all walks are accessible.,Semantic,0.723122835,0.730667531
Some unemployment is a result of depressed demand.,Possibly all unemployment is a result of depressed demand.,Semantic,0.697802424,0.730849504
Some sites of cancer are common.,Possibly all sites of cancer are common.,Semantic,0.727236152,0.730977535
Some commodity contracts state that certificates of inspection of certain commodities are final as to quality.,Possibly all commodity contracts state that certificates of inspection of certain commodities are final as to quality.,Semantic,0.730871618,0.731029153
Some stall holders still aren't happy.,Possibly all stall holders still aren't happy.,Semantic,0.722425997,0.730585694
Some bastard will pay.,Possibly all bastard will pay.,Semantic,0.727747977,0.73076272
Some people murder their children.,Possibly all people murder their children.,Semantic,0.717718661,0.730783641
Some professors and other senior may wear collars and ties with more formal suits.,Possibly all professors and other senior may wear collars and ties with more formal suits.,Semantic,0.729309201,0.730978549
Some jobs or hobbies allow verbally or physically for sublimation of impulses.,Possibly all jobs or hobbies allow verbally or physically for sublimation of impulses.,Semantic,0.715777934,0.730992734
Some provisions apply to every officer of companies whether directors managers auditors or members of a supervisory board in regard to the duty of care appointment and cessation of their office.,Possibly all provisions apply to every officer of companies whether directors managers auditors or members of a supervisory board in regard to the duty of care appointment and cessation of their office.,Semantic,0.730682909,0.731013834
Some people thrive on it.,Possibly all people thrive on it.,Semantic,0.728476226,0.730770171
Some firms such as Texas already supply their software in this form.,Possibly all firms such as Texas already supply their software in this form.,Semantic,0.730365694,0.730787694
Some blokes have the luck.,Possibly all blokes have the luck.,Semantic,0.725219309,0.730890214
Some policy issues may require identification of the effects of other variables such as age qualifications and marital status.,Possibly all policy issues may require identification of the effects of other variables such as age qualifications and marital status.,Semantic,0.726150453,0.731006384
Some yeasts can grow in both ways either as hyphae or as single cells.,Possibly all yeasts can grow in both ways either as hyphae or as single cells.,Semantic,0.721375465,0.731019974
Some producets were more expensive in France.,Possibly all producets were more expensive in France.,Semantic,0.723251104,0.730991185
Some women had the luck.,Possibly all women had the luck.,Semantic,0.72965163,0.730928242
Some people can change their questions.,Possibly all people can change their questions.,Semantic,0.729181588,0.730825126
Some organisations specify that the disturbance allowance covers such items.,Possibly all organisations specify that the disturbance allowance covers such items.,Semantic,0.728497267,0.730997682
Some patients may experience pain at the site of the rash for six months or even longer.,Possibly all patients may experience pain at the site of the rash for six months or even longer.,Semantic,0.730778217,0.731035173
Some men hate women.,Possibly all men hate women.,Semantic,0.725955069,0.730851769
Some women feel more keen especially during the middle few months.,Possibly all women feel more keen especially during the middle few months.,Semantic,0.708168864,0.731029212
Some skins had long side-burns terminating at the lower jaw.,Possibly all skins had long side-burns terminating at the lower jaw.,Semantic,0.72554177,0.731021702
Some Scots Labourites are fervently Unionist.,Possibly all Scots Labourites are fervently Unionist.,Semantic,0.723141313,0.730935812
Some people see it as instant answer to every problem in life.,Possibly all people see it as instant answer to every problem in life.,Semantic,0.730199635,0.730993271
Some birds may do better in that situation.,Possibly all birds may do better in that situation.,Semantic,0.727648735,0.730907261
Some versions of traditional positivism may well do.,Possibly all versions of traditional positivism may well do.,Semantic,0.729092598,0.730976999
Some GPs already undertake minor elective surgery.,Possibly all GPs already undertake minor elective surgery.,Semantic,0.727532029,0.730942667
Some countries of socialist orientation such as Afghanistan became very close allies of the USSR in the Brezhnev years.,Possibly all countries of socialist orientation such as Afghanistan became very close allies of the USSR in the Brezhnev years.,Semantic,0.730998456,0.730968654
Some winners are coming up.,Possibly all winners are coming up.,Semantic,0.714489043,0.730736136
Some countries are above us.,Possibly all countries are above us.,Semantic,0.725806653,0.730876863
Some folks are funny.,Possibly all folks are funny.,Semantic,0.723378181,0.730743766
Some programmes would involve more than one organization.,Possibly all programmes would involve more than one organization.,Semantic,0.721688449,0.730894804
Some punters still offer more money for sex without a condom.,Possibly all punters still offer more money for sex without a condom.,Semantic,0.710021257,0.730950594
Some records are wacky.,Possibly all records are wacky.,Semantic,0.703021705,0.730920017
Some foods are pretty universally popular.,Possibly all foods are pretty universally popular.,Semantic,0.7238397,0.730883181
Some newspapers publicly reject the lobby and its works.,Possibly all newspapers publicly reject the lobby and its works.,Semantic,0.729997694,0.730954528
Some countries are in the midst of a recession.,Possibly all countries are in the midst of a recession.,Semantic,0.718942881,0.730908811
Some men from an ML did this damage.,Possibly all men from an ML did this damage.,Semantic,0.72962147,0.730960131
Some people have no pride.,Possibly all people have no pride.,Semantic,0.729803562,0.730750263
Some patients are suspicious about the timing.,Possibly all patients are suspicious about the timing.,Semantic,0.730180621,0.730971634
Some illuminating principles emerged.,Possibly all illuminating principles emerged.,Semantic,0.713420987,0.730447888
Some of the brass sounds are good.,Possibly all of the brass sounds are good.,Semantic,0.717425346,0.730987668
Some people do up to two a week.,Possibly all people do up to two a week.,Semantic,0.730988622,0.730868876
Some lecturers give you a set of references.,Possibly all lecturers give you a set of references.,Semantic,0.727143466,0.730963409
Some Jokaero must have psyches.,Possibly all Jokaero must have psyches.,Semantic,0.720073581,0.731019735
Some drivers are such gullible dicks.,Possibly all drivers are such gullible dicks.,Semantic,0.729043424,0.730827212
Some folks get the luck.,Possibly all folks get the luck.,Semantic,0.730566442,0.730871916
Some items are effectively open.,Possibly all items are effectively open.,Semantic,0.724814832,0.73096931
Some people learn just in time.,Possibly all people learn just in time.,Semantic,0.728196621,0.730817378
Some boys will be like that.,Possibly all boys will be like that.,Semantic,0.725113928,0.730821788
Some anurans defend themselves in a more active way.,Possibly all anurans defend themselves in a more active way.,Semantic,0.721727967,0.730973363
Some objects are hard to value.,Possibly all objects are hard to value.,Semantic,0.721855283,0.730926216
Some people with similar experiences may not view these in exclusively negative terms.,Possibly all people with similar experiences may not view these in exclusively negative terms.,Semantic,0.730998218,0.730986238
Some people were not happy about the accident.,Possibly all people were not happy about the accident.,Semantic,0.729878783,0.730815709
Some speakers invest an effort in the communication process.,Possibly all speakers invest an effort in the communication process.,Semantic,0.724213719,0.730906665
Some football teams won't let the fathers on the pitch.,Possibly all football teams won't let the fathers on the pitch.,Semantic,0.72528255,0.730939627
Some groups still expressed misgivings about the selection.,Possibly all groups still expressed misgivings about the selection.,Semantic,0.729671359,0.730755806
Some of us have Candida yeasts in our gut.,Possibly all of us have Candida yeasts in our gut.,Semantic,0.73007071,0.731001616
Some KMT legislators backed the DPP 's call for a plebiscite on independence.,Possibly all KMT legislators backed the DPP 's call for a plebiscite on independence.,Semantic,0.730836153,0.73099637
Some speeches in the House of Lords in Ashington Piggeries Ltd v Christopher Hill Ltd 1972 AC 441 would suggest an important gloss to this approach.,Possibly all speeches in the House of Lords in Ashington Piggeries Ltd v Christopher Hill Ltd 1972 AC 441 would suggest an important gloss to this approach.,Semantic,0.730531514,0.730985403
Some writers have high and low versions of all tones.,Possibly all writers have high and low versions of all tones.,Semantic,0.729992449,0.730965078
Some issues of securities will inevitably involve judgment of price.,Possibly all issues of securities will inevitably involve judgment of price.,Semantic,0.721327066,0.730963051
Some users have multi-copy stationery.,Possibly all users have multi-copy stationery.,Semantic,0.728262246,0.730964065
Some men of smaller than average build use the drugs to attain a normal build.,Possibly all men of smaller than average build use the drugs to attain a normal build.,Semantic,0.723204136,0.731007695
Some people in the West notably the intelligence community deliberately bestow upon the KGB an incredible reputation for efficiency and prowess.,Possibly all people in the West notably the intelligence community deliberately bestow upon the KGB an incredible reputation for efficiency and prowess.,Semantic,0.728755653,0.731016338
Some reporting is sophisticated.,Possibly all reporting is sophisticated.,Semantic,0.715745986,0.730881631
Some men pinched all the wages at the gravel pit.,Possibly all men pinched all the wages at the gravel pit.,Semantic,0.730885863,0.730980456
Some fans send two cards to the band at Christmas.,Possibly all fans send two cards to the band at Christmas.,Semantic,0.726384223,0.730911791
Some Allied occupation rights still survived in Berlin in 1989.,Possibly all Allied occupation rights still survived in Berlin in 1989.,Semantic,0.729200542,0.730959892
Some vestiges of my teenage thinking linger on.,Possibly all vestiges of my teenage thinking linger on.,Semantic,0.722434044,0.730898738
Some elements of the endoplasmic reticulum had both receptors.,Possibly all elements of the endoplasmic reticulum had both receptors.,Semantic,0.730477214,0.730998158
Some Gargoyles will emerge from the walls and attack as complete creatures.,Possibly all Gargoyles will emerge from the walls and attack as complete creatures.,Semantic,0.722607851,0.730977595
Some people with political ideas have problems.,Possibly all people with political ideas have problems.,Semantic,0.722820997,0.730888069
Some beliefs in violence are unrelated to catholic moral teaching.,Possibly all beliefs in violence are unrelated to catholic moral teaching.,Semantic,0.730029523,0.73097986
Some men never grow up.,Possibly all men never grow up.,Semantic,0.725516438,0.730741739
Some places need cleaners in the day-time.,Possibly all places need cleaners in the day-time.,Semantic,0.728078187,0.730963647
Some people have the luck.,Possibly all people have the luck.,Semantic,0.729700029,0.7307899
Some metals are reactive.,Possibly all metals are reactive.,Semantic,0.711795509,0.730873048
Some patients are well-informed citizens or even experts in their own illnesses.,Possibly all patients are well-informed citizens or even experts in their own illnesses.,Semantic,0.724857032,0.731018066
Some sports seem very complex.,Possibly all sports seem very complex.,Semantic,0.717627585,0.730901659
Some interpretations of modern astrophysics go so far as to suggest that a conscious observer is necessary for the physical universe to exist.,Possibly all interpretations of modern astrophysics go so far as to suggest that a conscious observer is necessary for the physical universe to exist.,Semantic,0.731057286,0.731030881
Some journalists are free to report what they have been told without question.,Possibly all journalists are free to report what they have been told without question.,Semantic,0.710322201,0.730942309
Some modern parents would be horrified at this ritual.,Possibly all modern parents would be horrified at this ritual.,Semantic,0.726540267,0.730927169
Some consumers would appreciate the stability.,Not all consumers would appreciate the stability.,Pragmatic,0.731028795,0.730959058
Some clients will need community nurse visits at home.,Not all clients will need community nurse visits at home.,Pragmatic,0.729825735,0.731016755
Some individuals are worth a great deal some very little.,Not all individuals are worth a great deal some very little.,Pragmatic,0.728650451,0.730962515
Some courses run at weekends or in the evenings and some during school hours.,Not all courses run at weekends or in the evenings and some during school hours.,Pragmatic,0.731057227,0.730976284
Some information should be secret.,Not all information should be secret.,Pragmatic,0.730879068,0.730778158
Some art societies only accept pictures for exhibition not less than 10_8.,Not all art societies only accept pictures for exhibition not less than 10_8.,Pragmatic,0.72907114,0.731005192
Some calcium is present in oranges.,Not all calcium is present in oranges.,Pragmatic,0.730274022,0.73062557
Some schemes involve a few elements of decentralisation.,Not all schemes involve a few elements of decentralisation.,Pragmatic,0.730851591,0.730940342
Some commentators see the unpopularity of the DUP 's stand on Sunday opening as part of the reason for its fall in votes in recent elections.,Not all commentators see the unpopularity of the DUP 's stand on Sunday opening as part of the reason for its fall in votes in recent elections.,Pragmatic,0.729825974,0.731034756
Some roads are under two feet of water.,Not all roads are under two feet of water.,Pragmatic,0.720791042,0.730779231
Some appraisal schemes developed from an interest in and experience of school self-evaluation.,Not all appraisal schemes developed from an interest in and experience of school self-evaluation.,Pragmatic,0.730969429,0.731020272
Some areas of the ground were very quiet against Blackburn on Saturday.,Not all areas of the ground were very quiet against Blackburn on Saturday.,Pragmatic,0.730804741,0.731017888
Some organizations had computing facilities.,Not all organizations had computing facilities.,Pragmatic,0.730509996,0.730955958
Some girls showed the way with this style.,Not all girls showed the way with this style.,Pragmatic,0.730465293,0.730968595
Some archaeologists dismiss all leys as merely chance alignments without proper statistical investigation.,Not all archaeologists dismiss all leys as merely chance alignments without proper statistical investigation.,Pragmatic,0.730759561,0.730994761
Some shoes require socks.,Not all shoes require socks.,Pragmatic,0.729894817,0.730761051
Some events have a magic.,Not all events have a magic.,Pragmatic,0.730327547,0.7307657
Some people do deals on the net income.,Not all people do deals on the net income.,Pragmatic,0.730877459,0.730950952
Some packaging such as paper and steel cans traditionally contains recycled materials.,Not all packaging such as paper and steel cans traditionally contains recycled materials.,Pragmatic,0.725866973,0.731013238
Some problems for planning arise from the operation of a Type I system itself.,Not all problems for planning arise from the operation of a Type I system itself.,Pragmatic,0.730981588,0.730987906
Some schools set their own versions of the tests.,Not all schools set their own versions of the tests.,Pragmatic,0.731015682,0.731030583
Some children are sick.,Not all children are sick.,Pragmatic,0.725503862,0.730836213
Some people are grateful.,Not all people are grateful.,Pragmatic,0.729495585,0.730916202
Some neo-Marxists emphasize that working-class political mobilization confronts special difficulties.,Not all neo-Marxists emphasize that working-class political mobilization confronts special difficulties.,Pragmatic,0.731057644,0.731028676
Some belief in angelic guardianship of national destiny survived until 1914 in England.,Not all belief in angelic guardianship of national destiny survived until 1914 in England.,Pragmatic,0.73039782,0.730993569
Some men play out their fantasies of power over women through their sexuality in the form of rape sexual harassment and other forms of sexual molestation of women.,Not all men play out their fantasies of power over women through their sexuality in the form of rape sexual harassment and other forms of sexual molestation of women.,Pragmatic,0.731058121,0.731045842
Some pollutants in the atmosphere act as catalysts in turn having enormous effects on other components of the atmosphere.,Not all pollutants in the atmosphere act as catalysts in turn having enormous effects on other components of the atmosphere.,Pragmatic,0.729824245,0.731029868
Some people have problems with maths.,Not all people have problems with maths.,Pragmatic,0.727336645,0.730852306
Some portion of the benefits may spill over to residents in another locality.,Not all portion of the benefits may spill over to residents in another locality.,Pragmatic,0.730998695,0.731004059
Some districts may have some knowledge.,Not all districts may have some knowledge.,Pragmatic,0.728949249,0.730989277
Some horses were receptive to such telepathic messages.,Not all horses were receptive to such telepathic messages.,Pragmatic,0.729458988,0.730923235
Some students called upon the access funds in the summer period.,Not all students called upon the access funds in the summer period.,Pragmatic,0.729999483,0.731022239
Some problems remain unresolved or unaddressed.,Not all problems remain unresolved or unaddressed.,Pragmatic,0.730768323,0.730857134
Some factors in the development of relationships may lie at the root of paedophiliac tendency.,Not all factors in the development of relationships may lie at the root of paedophiliac tendency.,Pragmatic,0.728892803,0.731003702
Some policemen came in.,Not all policemen came in.,Pragmatic,0.727550387,0.730842829
Some women experience more.,Not all women experience more.,Pragmatic,0.726799786,0.730925798
Some factors remain clear.,Not all factors remain clear.,Pragmatic,0.730453372,0.730908275
Some scholars think that all three belong to the same basic source or at the very least two sources.,Not all scholars think that all three belong to the same basic source or at the very least two sources.,Pragmatic,0.722079456,0.730938137
Some STM makers have their sights on other markets.,Not all STM makers have their sights on other markets.,Pragmatic,0.730234683,0.730963945
Some squares in the pattern may only match a square on the edge of the board.,Not all squares in the pattern may only match a square on the edge of the board.,Pragmatic,0.730079591,0.730991423
Some trends are discernible.,Not all trends are discernible.,Pragmatic,0.7273947,0.730910838
Some schemes incorporated these variations.,Not all schemes incorporated these variations.,Pragmatic,0.730755031,0.730947495
Some people are at risk.,Not all people are at risk.,Pragmatic,0.727840602,0.730886638
Some members of the US National Security Council again pressed the case for a more dynamic foreign policy in December 1954.,Not all members of the US National Security Council again pressed the case for a more dynamic foreign policy in December 1954.,Pragmatic,0.73102212,0.731028259
Some Brazilians regard BNDES as a relic of the 1950s useful in its day but no longer a major instrument of development policy.,Not all Brazilians regard BNDES as a relic of the 1950s useful in its day but no longer a major instrument of development policy.,Pragmatic,0.729865611,0.731038749
Some illiterates even scraped my name on the bonnet of my car.,Not all illiterates even scraped my name on the bonnet of my car.,Pragmatic,0.729840338,0.731022
Some water got in at the front.,Not all water got in at the front.,Pragmatic,0.723644793,0.731001973
Some people really need them.,Not all people really need them.,Pragmatic,0.730845571,0.730933368
