SENTENCE1,SENTENCE2,QUD,BERT,GPT-2
Did all members of the US National Security Council again press the case for a more dynamic foreign policy in December 1954?,Some members of the US National Security Council again pressed the case for a more dynamic foreign policy in December 1954.,Upper,0.000237672,6.039129257
Do all Brazilians regard BNDES as a relic of the 1950s useful in its day but no longer a major instrument of development policy?,Some Brazilians regard BNDES as a relic of the 1950s useful in its day but no longer a major instrument of development policy.,Upper,0.000284891,5.543252945
Did all illiterates even scrape my name on the bonnet of my car?,Some illiterates even scraped my name on the bonnet of my car.,Upper,0.001191969,6.309799671
Did all water get in at the front?,Some water got in at the front.,Upper,0.007717931,7.075743198
Do all people really need them?,Some people really need them.,Upper,0.001987046,5.599503994
Do all people do it every day?,Some people do it every day.,Upper,0.001959096,6.85814476
Did all states count administrative areas as urban units?,Some states counted administrative areas as urban units.,Upper,0.000181274,7.073069096
Are all features of the urban pattern of 1880 fairly clear?,Some features of the urban pattern of 1880 are fairly clear.,Upper,7.56E-05,5.806694984
Can all theists and atheists talk to one another?,Some theists and atheists can talk to one another.,Upper,0.000123389,7.017230511
Do all colleges and courses offer a training in the use of music in worship?,Some colleges and courses offer a training in the use of music in worship.,Upper,0.00019582,7.017012119
Do all sins need a combination of external prompting and inner weakness?,Some sins need a combination of external prompting and inner weakness.,Upper,0.000128397,6.682694912
Do all people call it a contribution to the safety net?,Some people call it a contribution to the safety net.,Upper,0.000433718,6.826948166
Are all people frightened?,Some people are frightened.,Upper,0.001344511,6.592803478
Do all sounds look similar but sound different?,Some sounds look similar but sound different.,Upper,0.00022241,5.631474495
Do all proteins serve as hormones such as growth hormone in animals?,Some proteins serve as hormones such as growth hormone in animals.,Upper,0.000242084,6.116322994
Did all contractors pull out after cash rows?,Some contractors pulled out after cash rows.,Upper,0.002885806,6.671844006
Are all people rather slow?,Some people are rather slow.,Upper,0.00077015,6.129935741
Did all speakers emphasise the importance of crime prevention community liaison and education?,Some speakers emphasised the importance of crime prevention community liaison and education.,Upper,7.99E-05,6.25024271
Do all people prefer it?,Some people might prefer it.,Upper,0.003736075,5.736330032
Did all sunbathers go ahead regardless?,Some sunbathers went ahead regardless.,Upper,0.002990899,4.776751041
Are all church-goers impressed?,Some church-goers are impressed.,Upper,0.000748139,5.613808632
Are all pupils absent only on particular days of the week?,Some pupils are absent only on particular days of the week.,Upper,3.95E-05,6.500623703
Will all band members contribute to the work?,Some band members will contribute to the work.,Upper,0.000438965,6.427686214
Were all homes high?,Some homes were high.,Upper,0.00265862,7.415827274
Do all problems show up more markedly at smaller gatherings?,Some problems show up more markedly at smaller gatherings.,Upper,0.000371644,5.874770641
Do all people take advice?,Some people take advice.,Upper,0.001755108,6.835388184
Did all nurses bustle along?,Some nurses bustled along.,Upper,0.00118803,7.29370451
Are all qualifications in order?,Some qualifications are in order.,Upper,0.000196894,5.834565163
Do all woods produce little heat and a lot of ash?,Some woods produce little heat and a lot of ash.,Upper,9.92E-05,7.288229942
Must all men love their lady?,Some men must love their lady.,Upper,0.001296287,6.075758934
Do all groups of bats specialize in one of them?,Some groups of bats specialize in one of them.,Upper,0.000560381,7.263645649
Do all universities and colleges have the services of a chaplain?,Some universities and colleges have the services of a chaplain.,Upper,0.000185209,7.41054821
Do all actors prefer the risks?,Some actors prefer the risks.,Upper,0.000650677,6.63922739
Can all management procedures work very well in M and E as they can in civils?,Some management procedures can not work very well in M and E as they can in civils.,Upper,0.000530324,5.803284168
Did all people raise concerns over?,Some people raised concerns over.,Upper,0.006470709,6.673439026
Can all people under eighteen claim his attention?,Some people under eighteen can claim his attention.,Upper,0.000889637,6.352493286
Will all varieties cope better with cold aspects?,Some varieties will cope better with cold aspects.,Upper,0.000186043,5.411145687
Are all courses good?,Some courses are good.,Upper,0.001104488,7.320473194
Do all agencies recommend entirely the opposite?,Some agencies recommend entirely the opposite.,Upper,0.00050319,6.067351341
Are all marriages vulnerable?,Some marriages are vulnerable.,Upper,0.000362581,6.960665226
Do all people write it?,Some people write it.,Upper,0.00120462,6.859169483
Do all people chat it?,Some people chat it.,Upper,0.003398704,6.667096138
Were all women capable of the most startling changes?,Some women were capable of the most startling changes.,Upper,0.000599922,5.732295513
Are all plans natural?,Some plans are natural.,Upper,0.001928638,6.687621593
Do all ladies work for the council?,Some ladies work for the council.,Upper,0.002802839,6.914671898
Will all of the Paper 's suggestions strike the observers as strange or unworkable?,Some of the Paper 's suggestions will strike the observers as strange or unworkable.,Upper,0.000675907,5.267709255
Do all employees welcome a nudge in the right direction?,Some employees welcome a nudge in the right direction.,Upper,0.001327084,6.128777027
Do all parents duck out of both of these?,Some parents duck out of both of these.,Upper,0.001912096,5.87356472
Will all copies be available on the black market at between 70 and 150 roubles?,Some copies will soon be available on the black market at between 70 and 150 roubles.,Upper,0.000755118,4.468803406
Might all groups need even more?,Some groups may need even more.,Upper,0.005984715,4.598245621
Do all people need blood transfusions as part of ordinary medical treatment for various kinds of illnesses?,Some people need blood transfusions as part of ordinary medical treatment for various kinds of illnesses.,Upper,0.000222767,6.40348196
Are all attitudes negative?,Some attitudes are negative.,Upper,0.000305461,6.950357437
Are all decisions multiple?,Some decisions are multiple.,Upper,0.000843046,6.833874702
Will all plants be plants part of the building blocks of creation?,Some plants will always be plants part of the building blocks of creation.,Upper,0.00047552,6.220760822
Are all metal finishes not obvious from their names?,Some metal finishes are not obvious from their names.,Upper,0.000135908,5.570237637
Would all sections of an audience hear one sound?,Some sections of an audience would hear one sound.,Upper,0.002196995,6.274945259
Do all farmers spend much on workers?,Some farmers spend much on workers.,Upper,0.000307011,7.212532043
Do all judges and academic authorities favour a narrow approach to the meaning of the term?,Some judges and academic authorities favour a narrow approach to the meaning of the term.,Upper,0.000169649,6.414638519
Do all people do protests?,Some people do protests.,Upper,0.000436819,7.394887447
Are all relationships of this kind?,Some relationships are of just this kind.,Upper,0.000909384,6.819078922
Do all people go off to El Vino 's or the Falstaff?,Some people go off to El Vino 's or the Falstaff.,Upper,0.000118859,6.291512489
Do all women sustain positive feelings all the way through?,Some women sustain positive feelings all the way through.,Upper,0.000146042,6.46097517
Do all people feel the cold?,Some people feel the cold.,Upper,0.000649723,6.841823101
Do all children and substitute parents need the certainty of the legal tie of adoption?,Some children and substitute parents need the certainty of the legal tie of adoption.,Upper,0.00014795,6.108205318
Did all kids put another's handwork down?,Some kids put another's handwork down.,Upper,0.00572649,6.270786762
Did all commentators speak of the Japanisation of British industrial relations?,Some commentators spoke of the Japanisation of British industrial relations.,Upper,0.00011862,8.275790215
Could all visits be for convenience shopping?,Some visits may only be for convenience shopping.,Upper,0.014038293,4.906674862
Can all members provide it?,Some members can provide it.,Upper,0.000234333,6.156425476
Do all societies fear hostile bids a subject on the agenda at the Building Societies Association council meeting tomorrow?,Some societies fear hostile bids a subject on the agenda at the Building Societies Association council meeting tomorrow.,Upper,7.57E-05,4.777143955
Do all people do sort of Amstrad kits?,Some people do sort of Amstrad kits.,Upper,0.00047063,6.446139336
Did all staff realise the knock-on effects of the developments to that date and of the predicted integration of the library and the audio-visual resources area?,Some staff realised the knock-on effects of the developments to that date and of the predicted integration of the library and the audio-visual resources area.,Upper,0.000217402,5.989450455
Are all walks accessible?,Some walks are accessible.,Upper,7.08E-05,6.629363537
Is all unemployment a result of depressed demand?,Some unemployment is a result of depressed demand.,Upper,0.000190693,6.755733013
Are all sites of cancer common?,Some sites of cancer are common.,Upper,0.000173286,6.689630508
Do all commodity contracts state that certificates of inspection of certain commodities are final as to quality?,Some commodity contracts state that certificates of inspection of certain commodities are final as to quality.,Upper,0.000194867,7.381718159
Aren't all stall holders happy?,Some stall holders still aren't happy.,Upper,0.001166487,5.089504242
Will all bastard pay?,Some bastard will pay.,Upper,0.00139614,6.204214573
Do all people murder their children?,Some people murder their children.,Upper,0.000900435,7.225471497
Do all professors and other senior individuals wear collars and ties with more formal suits?,Some professors and other senior may wear collars and ties with more formal suits.,Upper,0.000734539,5.44800663
Do all jobs or hobbies allow verbally or physically for sublimation of impulses?,Some jobs or hobbies allow verbally or physically for sublimation of impulses.,Upper,0.000266528,6.473236084
Do all provisions apply to every officer of companies whether directors managers auditors or members of a supervisory board in regard to the duty of care appointment and cessation of their office?,Some provisions apply to every officer of companies whether directors managers auditors or members of a supervisory board in regard to the duty of care appointment and cessation of their office.,Upper,0.000112659,6.322768688
Do all people thrive on it?,Some people thrive on it.,Upper,0.002251714,6.233164787
Do all firms such as Texas already supply their software in this form?,Some firms such as Texas already supply their software in this form.,Upper,0.000211559,6.427157879
Do all blokes have the luck?,Some blokes have the luck.,Upper,0.001709431,4.961239338
Do all policy issues require identification of the effects of other variables such as age qualifications and marital status?,Some policy issues may require identification of the effects of other variables such as age qualifications and marital status.,Upper,0.00031357,6.005676746
Can all yeasts grow in both ways either as hyphae or as single cells?,Some yeasts can grow in both ways either as hyphae or as single cells.,Upper,0.000914396,6.055265903
Were all producets more expensive in France?,Some producets were more expensive in France.,Upper,0.000910935,7.230255604
Did all women have the luck?,Some women had the luck.,Upper,0.007310283,5.253280163
Can all people change their questions?,Some people can change their questions.,Upper,0.003335729,6.452701092
Do all organisations specify that the disturbance allowance covers such items?,Some organisations specify that the disturbance allowance covers such items.,Upper,8.08E-05,6.134366035
Can all patients experience pain at the site of the rash for six months or even longer?,Some patients may experience pain at the site of the rash for six months or even longer.,Upper,0.000454231,5.928762436
Do all men hate women?,Some men hate women.,Upper,0.001480542,6.909710884
Do all women feel more keen especially during the middle few months?,Some women feel more keen especially during the middle few months.,Upper,0.000194867,5.309586048
Did all skins have long side-burns terminating at the lower jaw?,Some skins had long side-burns terminating at the lower jaw.,Upper,0.000696067,5.865329266
Are all Scots Labourites fervently Unionist?,Some Scots Labourites are fervently Unionist.,Upper,6.66E-05,6.609405041
Do all people see it as instant answer to every problem in life?,Some people see it as instant answer to every problem in life.,Upper,0.000621631,6.447491646
Do all birds do better in that situation?,Some birds may do better in that situation.,Upper,0.000652586,6.095978737
Can all versions of traditional positivism work well?,Some versions of traditional positivism may well do.,Upper,6.81E-05,6.184075356
Do all GPs undertake minor elective surgery?,Some GPs already undertake minor elective surgery.,Upper,0.000161899,7.297120094
Did all countries of socialist orientation such as Afghanistan become very close allies of the USSR in the Brezhnev years?,Some countries of socialist orientation such as Afghanistan became very close allies of the USSR in the Brezhnev years.,Upper,7.52E-05,6.368742943
Are all winners coming up?,Some winners are coming up.,Upper,0.000731318,5.615706444
Are all countries above us?,Some countries are above us.,Upper,0.000513566,5.952490807
Are all folks funny?,Some folks are funny.,Upper,0.001333887,5.764624119
Would all programmes involve more than one organization?,Some programmes would involve more than one organization.,Upper,0.002364448,7.131167889
Do all punters still offer more money for sex without a condom?,Some punters still offer more money for sex without a condom.,Upper,0.000146042,6.03755331
Are all records wacky?,Some records are wacky.,Upper,0.001097089,6.282093048
Are all foods pretty universally popular?,Some foods are pretty universally popular.,Upper,0.001278204,6.252617836
Do all newspapers publicly reject the lobby and its works?,Some newspapers publicly reject the lobby and its works.,Upper,0.000218713,6.874947071
Are all countries in the midst of a recession?,Some countries are in the midst of a recession.,Upper,0.000229802,7.005384922
Did all men from an ML do this damage?,Some men from an ML did this damage.,Upper,0.000821272,6.162117958
Do all people have no pride?,Some people have no pride.,Upper,0.001819477,6.657235146
Are all patients suspicious about the timing?,Some patients are suspicious about the timing.,Upper,0.001251527,6.969477654
Did all illuminating principles emerge?,Some illuminating principles emerged.,Upper,0.000764901,6.232485771
Are all of the brass sounds good?,Some of the brass sounds are good.,Upper,0.00041893,6.415904522
Do all people do up to two a week?,Some people do up to two a week.,Upper,0.002142995,7.397245884
Do all lecturers give you a set of references?,Some lecturers give you a set of references.,Upper,0.00103742,7.433740616
Must all Jokaero have psyches?,Some Jokaero must have psyches.,Upper,0.000492575,6.202473164
Are all drivers such gullible dicks?,Some drivers are such gullible dicks.,Upper,0.000193078,5.12243557
Do all folks get the luck?,Some folks get the luck.,Upper,0.001196026,4.559916496
Are all items effectively open?,Some items are effectively open.,Upper,0.000292523,6.891622066
Do all people learn in time?,Some people learn just in time.,Upper,0.00084758,6.038305759
Will all boys be like that?,Some boys will be like that.,Upper,0.002182718,5.386853695
Do all anurans defend themselves in a more active way?,Some anurans defend themselves in a more active way.,Upper,0.000196059,5.922856808
Are all objects hard to value?,Some objects are hard to value.,Upper,0.000196536,6.376002789
Might all people with similar experiences not view these in exclusively negative terms?,Some people with similar experiences may not view these in exclusively negative terms.,Upper,0.000229445,5.173702717
Weren't all people happy about the accident?,Some people were not happy about the accident.,Upper,0.001703341,6.334429741
Do all speakers invest an effort in the communication process?,Some speakers invest an effort in the communication process.,Upper,0.000121959,6.558661938
Won't all football teams let the fathers on the pitch?,Some football teams won't let the fathers on the pitch.,Upper,0.000511897,5.575505733
Did all groups still express misgivings about the selection?,Some groups still expressed misgivings about the selection.,Upper,0.000227179,6.217359543
Do all of us have Candida yeasts in our gut?,Some of us have Candida yeasts in our gut.,Upper,0.000676265,6.778280735
Did all KMT legislators back the DPP 's call for a plebiscite on independence?,Some KMT legislators backed the DPP 's call for a plebiscite on independence.,Upper,0.000141631,5.86305666
Would all speeches in the House of Lords in Ashington Piggeries Ltd v Christopher Hill Ltd 1972 AC 441 suggest an important gloss to this approach?,Some speeches in the House of Lords in Ashington Piggeries Ltd v Christopher Hill Ltd 1972 AC 441 would suggest an important gloss to this approach.,Upper,0.000158084,5.435771465
Do all writers have high and low versions of all tones?,Some writers have high and low versions of all tones.,Upper,9.23E-05,6.698158264
Will all issues of securities inevitably involve judgment of price?,Some issues of securities will inevitably involve judgment of price.,Upper,0.000108129,6.687731743
Do all users have multi-copy stationery?,Some users have multi-copy stationery.,Upper,0.000450176,6.787674904
Do all men of smaller than average build use the drugs to attain a normal build?,Some men of smaller than average build use the drugs to attain a normal build.,Upper,0.000187593,6.421414852
Do all people in the West notably the intelligence community deliberately bestow upon the KGB an incredible reputation for efficiency and prowess?,Some people in the West notably the intelligence community deliberately bestow upon the KGB an incredible reputation for efficiency and prowess.,Upper,4.45E-05,5.551540375
Is all reporting sophisticated?,Some reporting is sophisticated.,Upper,0.001661727,6.414100647
Did all men pinch all the wages at the gravel pit?,Some men pinched all the wages at the gravel pit.,Upper,0.000752195,7.578696251
Do all fans send two cards to the band at Christmas?,Some fans send two cards to the band at Christmas.,Upper,0.000180678,6.181497574
Did all Allied occupation rights still survive in Berlin in 1989?,Some Allied occupation rights still survived in Berlin in 1989.,Upper,0.000579764,6.325984955
Do all vestiges of my teenage thinking linger on?,Some vestiges of my teenage thinking linger on.,Upper,0.002364209,4.957870007
Did all elements of the endoplasmic reticulum have both receptors?,Some elements of the endoplasmic reticulum had both receptors.,Upper,0.000486373,7.358392239
Will all Gargoyles emerge from the walls and attack as complete creatures?,Some Gargoyles will emerge from the walls and attack as complete creatures.,Upper,0.0003119,5.315885067
Do all people with political ideas have problems?,Some people with political ideas have problems.,Upper,0.000317266,6.859449863
Are all beliefs in violence unrelated to catholic moral teaching?,Some beliefs in violence are unrelated to catholic moral teaching.,Upper,9.13E-05,6.589705467
Do all men never grow up?,Some men never grow up.,Upper,0.000741936,6.289825916
Do all places need cleaners in the day-time?,Some places need cleaners in the day-time.,Upper,0.000972147,6.663463593
Do all people have the luck?,Some people have the luck.,Upper,0.002496077,5.338820457
Are all metals reactive?,Some metals are reactive.,Upper,0.000436342,7.173574448
Are all patients well-informed citizens or even experts in their own illnesses?,Some patients are well-informed citizens or even experts in their own illnesses.,Upper,9.92E-05,6.476871967
Do all sports seem very complex?,Some sports seem very complex.,Upper,0.001078591,6.503846645
Do all interpretations of modern astrophysics go so far as to suggest that a conscious observer is necessary for the physical universe to exist?,Some interpretations of modern astrophysics go so far as to suggest that a conscious observer is necessary for the physical universe to exist.,Upper,8.39E-05,6.151766777
Are all journalists free to report what they have been told without question?,Some journalists are free to report what they have been told without question.,Upper,8.05E-05,5.989624023
Would all modern parents be horrified at this ritual?,Some modern parents would be horrified at this ritual.,Upper,0.010470838,5.570635796
Would any consumers appreciate the stability?,Some consumers would appreciate the stability.,Lower,0.007600328,5.512722492
Will any clients need community nurse visits at home?,Some clients will need community nurse visits at home.,Lower,0.000489474,5.431842804
Are any individuals worth a great deal any very little?,Some individuals are worth a great deal some very little.,Lower,0.000170007,5.488550663
Do any courses run at weekends or in the evenings and any during school hours?,Some courses run at weekends or in the evenings and some during school hours.,Lower,0.000177816,5.604190826
Should any information be secret?,Some information should be secret.,Lower,0.002896865,6.312049866
Do any art societies only accept pictures for exhibition not less than 10_8?,Some art societies only accept pictures for exhibition not less than 10_8.,Lower,0.000156415,5.891693592
Is any calcium present in oranges?,Some calcium is present in oranges.,Lower,0.000310111,6.364344597
Do any schemes involve a few elements of decentralisation?,Some schemes involve a few elements of decentralisation.,Lower,0.000201067,7.404265404
Do any commentators see the unpopularity of the DUP 's stand on Sunday opening as part of the reason for its fall in votes in recent elections?,Some commentators see the unpopularity of the DUP 's stand on Sunday opening as part of the reason for its fall in votes in recent elections.,Lower,0.000445763,4.357171059
Are any roads under two feet of water?,Some roads are under two feet of water.,Lower,0.000376057,6.916327477
Did any appraisal schemes develop from an interest in and experience of school self-evaluation?,Some appraisal schemes developed from an interest in and experience of school self-evaluation.,Lower,0.000142823,6.499130726
Were any areas of the ground very quiet against Blackburn on Saturday?,Some areas of the ground were very quiet against Blackburn on Saturday.,Lower,0.000137696,5.862828732
Did any organizations have computing facilities?,Some organizations had computing facilities.,Lower,0.002884611,7.576505184
Did any girls show the way with this style?,Some girls showed the way with this style.,Lower,0.000922867,5.576770782
Do any archaeologists dismiss any leys as merely chance alignments without proper statistical investigation?,Some archaeologists dismiss all leys as merely chance alignments without proper statistical investigation.,Lower,0.000227895,5.93123579
Do any shoes require socks?,Some shoes require socks.,Lower,0.001153657,6.094803333
Do any events have a magic?,Some events have a magic.,Lower,0.003314618,6.322906494
Do any people do deals on the net income?,Some people do deals on the net income.,Lower,0.000201544,7.360414505
Does any packaging such as paper and steel cans traditionally contain recycled materials?,Some packaging such as paper and steel cans traditionally contains recycled materials.,Lower,8.81E-05,6.528259277
Do any problems for planning arise from the operation of a Type I system itself?,Some problems for planning arise from the operation of a Type I system itself.,Lower,0.000205478,5.753804684
Did any schools set their own versions of the tests?,Some schools set their own versions of the tests.,Lower,0.000400683,6.879007339
Are any children sick?,Some children are sick.,Lower,0.000362939,6.923098564
Are any people grateful?,Some people are grateful.,Lower,0.00087174,5.52219677
Do any neo-Marxists emphasize that working-class political mobilization confronts special difficulties?,Some neo-Marxists emphasize that working-class political mobilization confronts special difficulties.,Lower,0.000138054,7.867796421
Did any belief in angelic guardianship of national destiny survive until 1914 in England?,Some belief in angelic guardianship of national destiny survived until 1914 in England.,Lower,0.00058036,6.358801842
Do any men play out their fantasies of power over women through their sexuality in the form of rape sexual harassment and other forms of sexual molestation of women?,Some men play out their fantasies of power over women through their sexuality in the form of rape sexual harassment and other forms of sexual molestation of women.,Lower,6.75E-05,5.972622871
Do any pollutants in the atmosphere act as catalysts in turn having enormous effects on other components of the atmosphere?,Some pollutants in the atmosphere act as catalysts in turn having enormous effects on other components of the atmosphere.,Lower,0.000137815,5.854778767
Do any people have problems with maths?,Some people have problems with maths.,Lower,0.001045893,6.916350842
May any portion of the benefits spill over to residents in another locality?,Some portion of the benefits may spill over to residents in another locality.,Lower,0.00028513,5.712581158
Could any districts possess certain knowledge?,Some districts may have some knowledge.,Lower,0.004635751,7.277319431
Were any horses receptive to such telepathic messages?,Some horses were receptive to such telepathic messages.,Lower,0.001150196,7.162081242
Did any students call upon the access funds in the summer period?,Some students called upon the access funds in the summer period.,Lower,0.000179009,6.561311245
Do any problems remain unresolved or unaddressed?,Some problems remain unresolved or unaddressed.,Lower,9.73E-05,5.424969673
Could any factors in the development of relationships be at the root of a paedophiliac tendency?,Some factors in the development of relationships may lie at the root of paedophiliac tendency.,Lower,0.000522452,5.391131878
Did any policemen come in?,Some policemen came in.,Lower,0.000536526,7.816389084
Do any women experience more?,Some women experience more.,Lower,0.000398298,5.745074749
Do any factors remain clear?,Some factors remain clear.,Lower,0.000293357,5.92320013
Do any scholars think that any three belong to the same basic source or at the very least two sources?,Some scholars think that all three belong to the same basic source or at the very least two sources.,Lower,0.000221098,6.417555809
Do any STM makers have their sights on other markets?,Some STM makers have their sights on other markets.,Lower,0.000147592,5.330502033
Do any squares in the pattern only match a square on the edge of the board?,Some squares in the pattern may only match a square on the edge of the board.,Lower,0.00018044,4.777540207
Are any trends discernible?,Some trends are discernible.,Lower,0.000655091,6.56111145
Did any schemes incorporat these variations?,Some schemes incorporated these variations.,Lower,0.001678623,6.876945972
Are any people at risk?,Some people are at risk.,Lower,0.000334438,6.058153152
Did any members of the US National Security Council again press the case for a more dynamic foreign policy in December 1954?,Some members of the US National Security Council again pressed the case for a more dynamic foreign policy in December 1954.,Lower,0.000243515,5.904006481
Do any Brazilians regard BNDES as a relic of the 1950s useful in its day but no longer a major instrument of development policy?,Some Brazilians regard BNDES as a relic of the 1950s useful in its day but no longer a major instrument of development policy.,Lower,0.000248642,5.201258659
Did any illiterates even scrape my name on the bonnet of my car?,Some illiterates even scraped my name on the bonnet of my car.,Lower,0.001306254,6.269823074
Did any water get in at the front?,Some water got in at the front.,Lower,0.001789262,6.750255585
Do any people really need them?,Some people really need them.,Lower,0.002496555,5.819001198
Do any people do it every day?,Some people do it every day.,Lower,0.002121253,6.769114017
Did any states count administrative areas as urban units?,Some states counted administrative areas as urban units.,Lower,0.000170365,6.804804802
Are any features of the urban pattern of 1880 fairly clear?,Some features of the urban pattern of 1880 are fairly clear.,Lower,6.02E-05,5.391245365
Can any theists and atheists talk to one another?,Some theists and atheists can talk to one another.,Lower,0.000130066,7.045668602
Do any colleges and courses offer a training in the use of music in worship?,Some colleges and courses offer a training in the use of music in worship.,Lower,0.000219429,6.694689751
Do any sins need a combination of external prompting and inner weakness?,Some sins need a combination of external prompting and inner weakness.,Lower,0.000149142,6.399587154
Do any people call it a contribution to the safety net?,Some people call it a contribution to the safety net.,Lower,0.000590141,6.698428631
Are any people frightened?,Some people are frightened.,Lower,0.000984319,6.282849789
Do any sounds look similar but sound different?,Some sounds look similar but sound different.,Lower,0.000200828,4.985969543
Do any proteins serve as hormones such as growth hormone in animals?,Some proteins serve as hormones such as growth hormone in animals.,Lower,0.000128277,5.881717205
Did any contractors pull out after cash rows?,Some contractors pulled out after cash rows.,Lower,0.002300463,6.64352417
Are any people rather slow?,Some people are rather slow.,Lower,0.000577974,5.855246544
Did any speakers emphasise the importance of crime prevention community liaison and education?,Some speakers emphasised the importance of crime prevention community liaison and education.,Lower,7.75E-05,6.192034245
Do any people prefer it?,Some people might prefer it.,Lower,0.003903966,5.583837509
Did any sunbathers go ahead regardless?,Some sunbathers went ahead regardless.,Lower,0.003420474,4.805238247
Are any church-goers impressed?,Some church-goers are impressed.,Lower,0.000630399,5.052042007
Are any pupils absent only on particular days of the week?,Some pupils are absent only on particular days of the week.,Lower,3.54E-05,5.834433079
